Month,Campaign,Clicks,CTR,Cost,Conversions
9/2016,MA Homeland Security,18,0.0362,274.66,2
9/2016,MA Homeland Security,7,0.0134,102.68,1
9/2016,MA Homeland Security,6,0.0186,96.18,2
9/2016,MA Homeland Security,3,0.0097,47.68,0
9/2016,MA Homeland Security,14,0.0297,246.22,1
9/2016,MA Homeland Security,12,0.0267,246.54,0
9/2016,MA Homeland Security,13,0.0461,275.88,2
9/2016,MA Homeland Security,13,0.023,209.98,1
9/2016,MA Homeland Security,10,0.0309,142.37,1
9/2016,MA Homeland Security,5,0.0201,93.7,0
9/2016,MA Homeland Security,12,0.0465,207.74,1
9/2016,MA Homeland Security,10,0.0275,205.79,2
9/2016,MA Homeland Security,10,0.023,151.22,1
8/2016,MA Homeland Security,16,0.0376,275.92,1
8/2016,MA Homeland Security,15,0.0248,240.81,2
8/2016,MA Homeland Security,13,0.0212,171.87,1
8/2016,MA Homeland Security,13,0.039,194.66,1
8/2016,MA Homeland Security,9,0.028,121.43,3
8/2016,MA Homeland Security,11,0.0298,226.3,2
8/2016,MA Homeland Security,11,0.0231,216.46,0
8/2016,MA Homeland Security,16,0.0402,255.97,1
8/2016,MA Homeland Security,13,0.0348,281.53,0
8/2016,MA Homeland Security,9,0.0188,179.42,0
8/2016,MA Homeland Security,11,0.0385,212.55,0
8/2016,MA Homeland Security,12,0.0588,197.25,2
8/2016,MA Homeland Security,10,0.0353,194.24,0
8/2016,MA Homeland Security,15,0.0373,267.93,0
8/2016,MA Homeland Security,11,0.0239,146.69,0
8/2016,MA Homeland Security,12,0.0277,265.37,0
8/2016,MA Homeland Security,14,0.0329,245.34,1
8/2016,MA Homeland Security,12,0.05,219.93,2
8/2016,MA Homeland Security,11,0.0423,245.28,1
8/2016,MA Homeland Security,14,0.0243,207.93,1
8/2016,MA Homeland Security,12,0.0397,246.78,1
8/2016,MA Homeland Security,16,0.0379,242.51,1
8/2016,MA Homeland Security,15,0.026,243.92,1
8/2016,MA Homeland Security,11,0.0274,191.81,1
8/2016,MA Homeland Security,13,0.0345,230.07,3
8/2016,MA Homeland Security,12,0.0215,238.95,1
8/2016,MA Homeland Security,12,0.0248,226.26,1
8/2016,MA Homeland Security,13,0.0201,239.22,1
8/2016,MA Homeland Security,13,0.0262,260.31,1
8/2016,MA Homeland Security,13,0.0219,264.21,2
7/2016,MA Homeland Security,14,0.033,230.83,2
7/2016,MA Homeland Security,9,0.0207,157.4,2
7/2016,MA Homeland Security,12,0.0333,225.54,1
7/2016,MA Homeland Security,12,0.02,237.68,2
7/2016,MA Homeland Security,17,0.0234,234.67,0
7/2016,MA Homeland Security,16,0.0238,256.02,5
7/2016,MA Homeland Security,14,0.0223,254.28,0
7/2016,MA Homeland Security,13,0.0355,236.12,2
7/2016,MA Homeland Security,9,0.0212,151.46,0
7/2016,MA Homeland Security,12,0.03,226.59,0
7/2016,MA Homeland Security,14,0.0236,263.94,1
7/2016,MA Homeland Security,14,0.0207,228.21,1
7/2016,MA Homeland Security,11,0.0256,256.97,1
7/2016,MA Homeland Security,12,0.0293,264.82,0
7/2016,MA Homeland Security,10,0.0543,232.1,1
7/2016,MA Homeland Security,13,0.0456,258.65,0
7/2016,MA Homeland Security,12,0.0469,252.42,2
